"model","family","input_kind","batch_size","num_classes","phase","duration_s","n_samples","throughput_samples_s","gpu_energy_j","gpu_dyn_energy_j","gpu_avg_power_w","gpu_idle_power_w","gpu_dyn_power_w","gpu_peak_power_w","gpu_energy_per_sample_j","cpu_energy_j","cpu_dyn_energy_j","cpu_avg_power_w","cpu_peak_power_w","cpu_energy_per_sample_j","dram_energy_j","dram_dyn_energy_j","dram_avg_power_w","dram_peak_power_w","dram_energy_per_sample_j","system_energy_j","system_dyn_energy_j","system_avg_power_w","system_peak_power_w","system_energy_per_sample_j","gpu_util_pct","cpu_util_pct","gpu_energy_method"
"alexnet","cnn","image",64,1000,"baseline",5.000707535073161,0,0.0,394.381,0.0,78.86504004362457,78.86504004362457,0.0,133.695,,1111.987021,0.0,222.36593785997752,231.02096688750024,,39.667346,0.0,7.932346717297008,8.112092018190285,,1871.0,0.0,374.14705556713324,398.80253051242215,,5.88,0.5605989021201415,"nvml_counter"
"alexnet","cnn","image",64,1000,"train",2.755539668025449,12800,4645.188072785815,810.107,592.791253739377,293.9921386000233,78.86504004362457,215.12709855639872,297.531,0.063289609375,638.988965,26.25080240914997,231.89249366091818,236.04137049484495,0.049921012890625,21.926522,0.06862595995664122,7.95725144313092,8.172063188202637,0.0017130095312499999,1680.0,649.0229467098425,609.6809345531383,627.4403883567547,0.13125,96.42857142857143,1.4926570491418627,"nvml_counter"
"alexnet","cnn","image",64,1000,"infer",0.7641307630110532,12800,16751.059660995285,236.521,176.2577967765679,309.5294829748645,78.86504004362457,230.66444293123993,299.068,0.018478203125,183.88124299999998,13.96458923538691,240.6410681274196,239.83883647931196,0.014365722109375,6.28833,0.22697985044361424,8.229389921720818,8.115429552902787,0.00049127578125,482.0,196.10272495114754,630.7820903593537,636.3896850781475,0.03765625,100.0,1.853763388283855,"nvml_counter"
"bert","attention","token",16,1000,"baseline",5.000513943028636,0,0.0,400.738,0.0,80.13936258665585,80.13936258665585,0.0,283.818,,1113.111286,0.0,222.59937652045173,241.5782773718704,,39.661348000000004,0.0,7.931454336867325,8.497995824278991,,1881.0,2.2737367544323206E-13,376.161334900857,408.3795397911044,,4.32,0.5574348511228675,"nvml_counter"
"bert","attention","token",16,1000,"train",15.42711300891824,3200,207.4270149022773,4561.492,3325.172996912986,295.68020908144337,80.13936258665585,215.5408464947875,298.557,1.4254662500000002,3583.619366,149.5536287042496,232.2935836360536,246.01042708700464,1.119881051875,122.501576,0.14213362007309627,7.940667572032642,8.324831915118857,0.0382817425,9619.0,3815.916576898938,623.5126426078142,656.8986897633297,3.0059375,99.35064935064935,1.6044194028205718,"nvml_counter"
"bert","attention","token",16,1000,"infer",4.955290887970477,3200,645.7743999990713,1467.192,1070.078146806582,296.0859479635742,80.13936258665585,215.94658537691834,299.232,0.4584975,1149.141773,46.0971108602962,231.90198092904498,240.024613205961,0.3591068040625,39.202793,-0.09987040383258261,7.911300039957122,8.132472296947055,0.0122508728125,3195.0,1331.0111647589722,644.7653774990727,663.5950409742532,0.9984375,100.0,1.5264129736856367,"nvml_counter"
"bigru","rnn","sequence",64,1000,"baseline",5.000426426064223,0,0.0,416.534,0.0,83.29969576771656,83.29969576771656,0.0,103.116,,1111.727805,0.0,222.3265998286126,231.4124147395791,,39.636179,0.0,7.926559781661895,8.114900560135222,,1998.0,0.0,399.56592293521703,438.2938230402907,,6.6,0.5718162324190905,"nvml_counter"
"bigru","rnn","sequence",64,1000,"train",1.909588702954352,12800,6703.0140994220055,388.725,229.65684200243405,203.56477779670462,83.29969576771656,120.26508202898806,216.543,0.030369140625000002,448.80604100000005,24.253677601028528,235.02759536943523,240.99687159327988,0.035062971953125,16.983705,1.8472359876461315,8.8939073496425,9.040126158905727,0.0013268519531250001,1040.0,276.99342747738035,544.6198955780379,557.4094114041927,0.08125,90.78947368421052,1.5227046939808129,"nvml_counter"
"bigru","rnn","sequence",64,1000,"infer",0.6882820419268683,12800,18597.027410690505,139.336,82.00231530510916,202.44026650749785,83.29969576771656,119.1405707397813,216.543,0.010885625000000001,163.29725000000002,10.273843895304822,237.2533933078422,240.55576728467344,0.012757597656250001,6.026013,0.5703042480223592,8.755150698295102,8.861018298098035,0.00047078226562499996,372.0,96.98595067775511,540.4761091231928,547.3358484050204,0.0290625,95.71428571428571,1.748891440073852,"nvml_counter"
"bilstm","rnn","sequence",64,1000,"baseline",5.000485399970785,0,0.0,414.951,5.684341886080802E-14,82.98214409393623,82.98214409393623,0.0,109.953,,1116.629892,0.0,223.30430001985883,234.70706234298407,,39.607615,0.0,7.920754053242793,8.1245931171353,,1984.0,0.0,396.76148239760715,428.3351571786615,,5.28,0.6030109854008735,"nvml_counter"
"bilstm","rnn","sequence",64,1000,"train",2.0066804030211642,12800,6378.693877076249,474.047,307.52835764601974,236.23442940205976,82.98214409393623,153.25228530812353,247.174,0.037034921875,475.165837,27.065474239790717,236.79198555216493,243.2411447922601,0.037122331015625,17.886955,1.9925330642072332,8.91370393265925,9.053115056680186,0.0013974183593750001,1162.0,365.82650859909506,579.0658035283283,597.6009493843424,0.09078125,90.5,1.6199932615970731,"nvml_counter"
"bilstm","rnn","sequence",64,1000,"infer",0.7543742620619014,12800,16967.705081843946,173.625,111.02540628482248,230.15764022149648,82.98214409393623,147.17549612756025,247.174,0.013564453125,177.80618600000003,9.351169457269577,235.70022857621015,235.4880563670888,0.013891108281250002,6.5915610000000004,0.6163480061111546,8.737786177889403,8.731300613468317,0.000514965703125,424.0,124.69334950171901,562.0552308360807,567.676647138803,0.033125,96.75,1.4863657207824745,"nvml_counter"
"densenet121","cnn","image",64,1000,"baseline",5.00052207801491,0,0.0,426.477,0.0,85.28649475922349,85.28649475922349,0.0,290.854,,1096.5072030000001,0.0,219.2785444985552,227.27753961786982,,39.504585000000006,0.0,7.900092107119023,8.106489039859065,,2007.0,0.0,401.358091952817,418.4368163894628,,6.84,0.18236674556275426,"nvml_counter"
"densenet121","cnn","image",64,1000,"train",31.84645025804639,12800,401.92862615091383,9494.901,6778.828886967255,298.14629018507327,85.28649475922349,212.85979542584977,299.067,0.741789140625,7314.9496579999995,331.70639796994965,229.69434893773726,243.55397626493175,0.5714804420312499,255.416042,3.826151676649147,8.020235848278446,8.312563748357453,0.01995437828125,20863.0,8081.169488960204,655.1122599520714,687.4169413124373,1.629921875,99.6845425867508,1.2610569804547045,"nvml_counter"
"densenet121","cnn","image",64,1000,"infer",9.899774199002422,12800,1292.958782967982,2953.945,2109.627959659284,298.385088449559,85.28649475922349,213.09859369033552,299.564,0.23077695312500002,2265.236816,94.42873877839884,228.81701849606458,236.1390324899678,0.17697162625,78.38269500000001,0.17356698820043448,7.91762452601176,8.129084059751527,0.006123648046875001,6802.0,2828.6455167246604,687.0863782615792,707.1110484021459,0.53140625,100.0,1.2463102683264091,"nvml_counter"
"efficientnet_b0","cnn","image",64,1000,"baseline",5.000474183005281,0,0.0,430.516,0.0,86.09503503950904,86.09503503950904,0.0,275.527,,1087.4361199999998,0.0,217.46660020679312,227.280565822908,,39.49871,0.0,7.898992886362891,8.108161407692938,,2137.0,0.0,427.3594706803715,448.3529439722203,,1.68,0.2157702624869102,"nvml_counter"
"efficientnet_b0","cnn","image",64,1000,"train",16.764454205986112,12800,763.5202341051748,4925.781,3482.444727717381,293.822926739908,86.09503503950904,207.72789170039894,295.954,0.384826640625,3838.7611079999997,193.05224750172647,228.98217030109376,246.84653740118458,0.2999032115625,132.787094,0.3647894831592282,7.920752585705145,8.558996913584947,0.01037399171875,11182.0,4017.551724284447,667.0065045128176,697.4267397679689,0.87359375,99.40119760479043,1.3163715278890924,"nvml_counter"
"efficientnet_b0","cnn","image",64,1000,"infer",4.191074674017727,12800,3054.109266855277,1249.674,888.8432790872448,298.1750737459454,86.09503503950904,212.08003870643634,299.209,0.09763078124999999,958.405505,46.986744428571,228.67774486137588,243.71350407656786,0.074875430078125,33.17164,0.06637096371829188,7.914829150061498,8.126117183063059,0.0025915343749999997,2933.0,1141.9045457298735,699.8205062255099,726.8911662164816,0.229140625,100.0,1.2847552153410153,"nvml_counter"
"gcn","gnn","graph",2708,7,"baseline",5.000436489004642,0,0.0,405.472,0.0,81.08732125517125,81.08732125517125,0.0,83.035,,1092.741344,0.0,218.5291916821275,229.44685970899974,,39.46101,0.0,7.891513088261398,8.159277514230508,,2107.0,0.0,421.36321591785827,448.1492069998237,,1.2,0.20402109703968146,"nvml_counter"
"gcn","gnn","graph",2708,7,"train",0.21303201897535473,541600,2542340.8302892568,19.04,1.7658042397076734,89.37623598358095,81.08732125517125,8.288914728409708,85.644,0.000035155096011816835,49.117428000000004,2.5637130909040877,230.56359431904133,227.52618909164184,0.00009068949039881833,1.7318069999999999,0.05066203403723746,8.129327264181585,7.982307190085514,0.000003197575701624815,101.0,11.236143391070328,474.10713415660064,476.6751577996732,0.0001864844903988183,31.333333333333332,1.138827410464327,"nvml_counter"
"gcn","gnn","graph",2708,7,"infer",0.10189877299126238,541600,5315078.720785393,11.81,3.5473014589497414,115.89933473499907,81.08732125517125,34.812013479827826,85.644,0.00002180576070901034,24.672972,2.405115504818827,242.13217957114813,233.08429570846982,0.00004555570901033974,0.8623080000000001,0.058172499261676,8.462398267287687,8.138206600638998,0.0000015921491875923191,53.0,10.06360531431789,520.124025483061,795.7621214531227,0.00009785819793205318,47.0,1.0914760914760901,"nvml_counter"
"graphsage","gnn","graph",2708,7,"baseline",5.000443322001956,0,0.0,401.641,0.0,80.32107837974668,80.32107837974668,0.0,83.535,,1132.284637,0.0,226.4368505124228,264.2452387534887,,40.48045,0.0,8.0953722286754,9.845703584627168,,2082.0,0.0,416.3630834168638,457.8295262543996,,2.52,1.0448654178476118,"nvml_counter"
